id,state,total_pop,groundwater_per_day,gal_per_capita,county
1001,AL,55347,2710000,48.96,Autauga County
1003,AL,203709,12780000,62.74,Baldwin County
1005,AL,26489,1420000,53.61,Barbour County
1007,AL,22583,1810000,80.15,Bibb County
1009,AL,57673,2790000,48.38,Blount County
1011,AL,10696,890000,83.21,Bullock County
1013,AL,20154,1350000,66.98,Butler County
1015,AL,115620,7520000,65.04,Calhoun County
1017,AL,34123,1740000,50.99,Chambers County
1019,AL,25859,1080000,41.76,Cherokee County
1021,AL,43943,2220000,50.52,Chilton County
1023,AL,13170,250000,18.98,Choctaw County
1025,AL,24675,1190000,48.23,Clarke County
1027,AL,13555,280000,20.66,Clay County
1029,AL,15017,610000,40.62,Cleburne County
1031,AL,51211,3530000,68.93,Coffee County
1033,AL,54354,4270000,78.56,Colbert County
1035,AL,12672,410000,32.35,Conecuh County
1037,AL,10724,390000,36.37,Coosa County
1039,AL,37835,1810000,47.84,Covington County
1041,AL,13963,830000,59.44,Crenshaw County
1043,AL,82005,5730000,69.87,Cullman County
1045,AL,49565,3050000,61.54,Dale County
1047,AL,41131,2230000,54.22,Dallas County
1049,AL,71130,3390000,47.66,DeKalb County
1051,AL,81468,5020000,61.62,Elmore County
1053,AL,37789,2220000,58.75,Escambia County
1055,AL,103057,6600000,64.04,Etowah County
1057,AL,16759,680000,40.58,Fayette County
1059,AL,31695,1400000,44.17,Franklin County
1061,AL,26776,940000,35.1,Geneva County
1063,AL,8479,350000,41.28,Greene County
1065,AL,15068,1380000,91.58,Hale County
1067,AL,17221,810000,47.04,Henry County
1069,AL,104172,4980000,47.81,Houston County
1071,AL,52419,2610000,49.79,Jackson County
1073,AL,660367,48850000,73.97,Jefferson County
1075,AL,13886,490000,35.29,Lamar County
1077,AL,92596,6170000,66.63,Lauderdale County
1079,AL,33115,1780000,53.75,Lawrence County
1081,AL,156993,9810000,62.49,Lee County
1083,AL,91663,5420000,59.13,Limestone County
1085,AL,10458,760000,72.67,Lowndes County
1087,AL,19105,1160000,60.72,Macon County
1089,AL,353089,30950000,87.65,Madison County
1091,AL,20028,720000,35.95,Marengo County
1093,AL,30168,1100000,36.46,Marion County
1095,AL,94725,9050000,95.54,Marshall County
1097,AL,415395,35570000,85.63,Mobile County
1099,AL,21673,1030000,47.52,Monroe County
1101,AL,226519,14300000,63.13,Montgomery County
1103,AL,119565,8810000,73.68,Morgan County
1105,AL,9652,430000,44.55,Perry County
1107,AL,20864,1330000,63.75,Pickens County
1109,AL,33046,2330000,70.51,Pike County
1111,AL,22695,640000,28.2,Randolph County
1113,AL,59660,4900000,82.13,Russell County
1115,AL,87074,5110000,58.69,St. Clair County
1117,AL,208713,11840000,56.73,Shelby County
1119,AL,13103,710000,54.19,Sumter County
1121,AL,80862,5520000,68.26,Talladega County
1123,AL,40844,2320000,56.8,Tallapoosa County
1125,AL,203976,12290000,60.25,Tuscaloosa County
1127,AL,65294,3520000,53.91,Walker County
1129,AL,16804,600000,35.71,Washington County
1131,AL,11059,340000,30.74,Wilcox County
1133,AL,23877,1330000,55.7,Winston County
2013,AK,3341,160000,47.89,Aleutians East Borough
2016,AK,5702,420000,73.66,Aleutians West Census Area
2020,AK,298695,31920000,106.86,Municipality of Anchorage
2050,AK,17945,280000,15.6,Bethel Census Area
2060,AK,892,70000,78.48,Bristol Bay Borough
2068,AK,1919,40000,20.84,Denali Borough
2070,AK,4997,240000,48.03,Dillingham Census Area
2090,AK,99631,12020000,120.65,Fairbanks North Star Borough
2100,AK,2534,100000,39.46,Haines Borough
2105,AK,2133,150000,70.32,Hoonah-Angoon Census Area
2110,AK,32756,4390000,134.02,City & Borough of Juneau
2122,AK,58059,3450000,59.42,Kenai Peninsula Borough
2130,AK,13709,760000,55.44,Ketchikan Gateway Borough
2150,AK,13889,1000000,72.0,Kodiak Island Borough
2158,AK,8119,400000,49.27,Kusilvak Census Area
2164,AK,1563,100000,63.98,Lake and Peninsula Borough
2170,AK,101095,2220000,21.96,Matanuska-Susitna Borough
2180,AK,9846,610000,61.95,Nome Census Area
2185,AK,9687,290000,29.94,North Slope Borough
